Reg,REGTYPENAME,CLASSPROFILENAME,EONAME,EOTYPENAME,UKRTEST,UKRBALL100,HISTTEST,HISTLANG,HISTTESTSTATUS,HISTBALL100,MATHTEST,MATHLANG,MATHTESTSTATUS,MATHBALL100,PHYSTEST,PHYSLANG,PHYSTESTSTATUS,PHYSBALL100,CHEMTEST,CHEMLANG,CHEMTESTSTATUS,CHEMBALL100,BIOTEST,BIOLANG,BIOTESTSTATUS,BIOBALL100,GEOTEST,GEOLANG,GEOTESTSTATUS,GEOBALL100,ENGTEST,ENGTESTSTATUS,ENGBALL100,FRATEST,FRATESTSTATUS,FRABALL100,DEUTEST,DEUTESTSTATUS,DEUBALL100
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Української філології,Середня загальноосвітня школа №73,середня загальноосвітня школа,Українська мова і література,169,Історія України,українська,Зараховано,146,,,,,,,,,,,,,Біологія,українська,Зараховано,172,,,,,,,,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,"Навчально-виховний комплекс ""Школа-гімназія ""Сихівська""",навчально-виховний комплекс,Українська мова і література,173,,,,,Математика,українська,Зараховано,172,Фізика,українська,Зараховано,100,,,,,,,,,,,,,Англійська мова,Зараховано,135,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,Львівська українська гуманітарна гімназія ім. Олени Степанів з поглибленим вивченням українознавства та англійської мови,гімназія,Українська мова і література,186,,,,,Математика,українська,Зараховано,192,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,188,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №67 м. Львова,середня загальноосвітня школа,Українська мова і література,174,,,,,Математика,українська,Зараховано,185,Фізика,українська,Зараховано,164,,,,,,,,,,,,,,,,,,,,,
Сихівський район міста,Випускник минулих років,,,,Українська мова і література,145,,,,,Математика,українська,Зараховано,173,Фізика,українська,Не з’явився,,,,,,,,,,,,,,Англійська мова,Зараховано,140,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа І-ІІІ ступенів №48 м. Львова,середня загальноосвітня школа,Українська мова і література,181,Історія України,українська,Зараховано,177,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,182,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,"Львівська гімназія ""Євшан""",гімназія,Українська мова і література,180,,,,,Математика,українська,Зараховано,180,,,,,,,,,Біологія,українська,Зараховано,168,,,,,Англійська мова,Зараховано,182,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,"Львівський навчально-виховний комплекс ім. В. Стуса ""спеціалізована школа І ступеня-гімназія міжнародних відносин""",навчально-виховний комплекс,Українська мова і література,164,,,,,Математика,українська,Зараховано,162,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,159,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №67 м. Львова,середня загальноосвітня школа,Українська мова і література,139,Історія України,українська,Зараховано,136,Математика,українська,Зараховано,113,,,,,,,,,,,,,Географія,українська,Зараховано,144,,,,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №1 м. Львова,середня загальноосвітня школа,Українська мова і література,166,Історія України,українська,Зараховано,131,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,127,Англійська мова,Зараховано,114,,,,,,
Галицький район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Львівська лінгвістична гімназія Львівської міської ради Львівської області,гімназія,Українська мова і література,177,Історія України,українська,Зараховано,186,,,,,,,,,,,,,Біологія,українська,Зараховано,146,,,,,Англійська мова,Зараховано,177,,,,,,
Шевченківський район міста,Випускник минулих років,,,,Українська мова і література,120,Історія України,українська,Зараховано,142,,,,,,,,,,,,,Біологія,українська,Зараховано,127,,,,,,,,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Львівська спеціалізована середня загальноосвітня школа І-ІІІ ступенів №45 з поглибленим вивченням англійської мови,спеціалізована школа,Українська мова і література,138,Історія України,російська,Зараховано,108,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,127,,,,,,
Галицький район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Львівська лінгвістична гімназія Львівської міської ради Львівської області,гімназія,Українська мова і література,148,,,,,Математика,українська,Зараховано,113,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,182,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,"Львівська гімназія ""Престиж"" з поглибленим вивченням іноземних мов",гімназія,Українська мова і література,188,,,,,Математика,українська,Зараховано,188,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,177,,,,,,
Личаківський район міста,Випускник минулих років,,,,Українська мова і література,146,,,,,Математика,українська,Зараховано,131,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,151,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Львівська спеціалізована середня загальноосвітня школа І-ІІІ ступенів №81 ім. Петра Сагайдачного з поглибленим вивченням англійської мови,середня загальноосвітня школа,Українська мова і література,155,,,,,Математика,українська,Зараховано,119,,,,,Хімія,українська,Зараховано,157,Біологія,українська,Зараховано,153,,,,,,,,,,,,,
Залізничний район міста,"Учень (слухач, студент) професійно-технічного, вищого навчального закладу",,,,Українська мова і література,131,,,,,Математика,українська,Не подолав поріг,0,,,,,,,,,,,,,,,,,Англійська мова,Не подолав поріг,0,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Середня спеціалізована загальноосвітня школа №93 з поглибленим вивченням англійської мови,спеціалізована школа,Українська мова і література,192,Історія України,українська,Зараховано,177,,,,,,,,,,,,,Біологія,українська,Зараховано,162,,,,,Англійська мова,Зараховано,186,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,"Львівська гімназія ""Престиж"" з поглибленим вивченням іноземних мов",гімназія,Українська мова і література,182,Історія України,українська,Не подолав поріг,0,,,,,,,,,Хімія,українська,Зараховано,141,Біологія,українська,Зараховано,162,,,,,,,,,,,,,
Личаківський район міста,"Учень (слухач, студент) професійно-технічного, вищого навчального закладу",,,,Українська мова і література,132,Історія України,українська,Зараховано,117,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,109,Англійська мова,Не подолав поріг,0,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Української філології,Середня загальноосвітня школа №73,середня загальноосвітня школа,Українська мова і література,190,Історія України,українська,Зараховано,183,Математика,українська,Зараховано,159,,,,,,,,,,,,,Географія,українська,Зараховано,182,,,,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,Класична гімназія при Львівському національному університеті імені Івана Франка,гімназія,Українська мова і література,187,Історія України,українська,Не подолав поріг,0,,,,,,,,,Хімія,українська,Зараховано,179,Біологія,українська,Зараховано,189,,,,,,,,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Технологічний,Спеціалізована середня загальноосвітня школа І-ІІІ ступенів №66 з поглибленим вивченням англійської мови та інформаційних технологій м.Львова,середня загальноосвітня школа,Українська мова і література,102,Історія України,українська,Не подолав поріг,0,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,111,,,,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №68 м. Львова,середня загальноосвітня школа,Українська мова і література,152,Історія України,українська,Зараховано,108,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,154,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №67 м. Львова,середня загальноосвітня школа,Українська мова і література,138,,,,,Математика,українська,Не подолав поріг,0,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,124,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,"Львівський навчально-виховний комплекс ім. В. Стуса ""спеціалізована школа І ступеня-гімназія міжнародних відносин""",навчально-виховний комплекс,Українська мова і література,198,,,,,Математика,українська,Зараховано,168,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,177,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Біолого-хімічний,Середня загальноосвітня школа №13 м.Львова,середня загальноосвітня школа,Українська мова і література,111,,,,,Математика,українська,Не подолав поріг,0,,,,,,,,,,,,,Географія,українська,Зараховано,118,,,,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Екологічний,Львівська середня загальноосвітня школа І-ІІІ ступенів №71 Львівської міської ради Львівської області,середня загальноосвітня школа,Українська мова і література,159,Історія України,українська,Зараховано,146,Математика,українська,Зараховано,126,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,111,,,,,,
Залізничний район міста,Випускник минулих років,,,,Українська мова і література,184,Історія України,українська,Зараховано,174,Математика,українська,Не з’явився,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,172,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Біолого-хімічний,"Львівський навчально-виховний комплекс ""Школа І ступеня-гімназія""",навчально-виховний комплекс,Українська мова і література,187,,,,,Математика,українська,Зараховано,183,Фізика,українська,Зараховано,176,,,,,,,,,,,,,,,,,,,,,
м.Винники,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,"Загальноосвітня школа ""Берегиня"" м. Львова",середня загальноосвітня школа,Українська мова і література,143,,,,,Математика,українська,Зараховано,113,Фізика,українська,Не подолав поріг,0,,,,,,,,,,,,,Англійська мова,Зараховано,114,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №23,середня загальноосвітня школа,Українська мова і література,126,Історія України,українська,Зараховано,111,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,146,,,,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Художньо-естетичний,Львівський художній ліцей при Львівській національній академі мистецтв,ліцей,Українська мова і література,185,Історія України,українська,Зараховано,159,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,104,,,,,,
Шевченківський район міста,Випускник минулих років,,,,Українська мова і література,136,,,,,Математика,українська,Зараховано,155,Фізика,українська,Зараховано,141,,,,,,,,,,,,,,,,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,Львівська правнича гімназія,гімназія,Українська мова і література,163,,,,,Математика,українська,Зараховано,177,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,172,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа І-ІІІ ступенів №20 м. Львова,середня загальноосвітня школа,Українська мова і література,129,Історія України,українська,Зараховано,136,,,,,,,,,,,,,Біологія,українська,Зараховано,167,,,,,,,,,,,,,
Галицький район міста,Випускник загальноосвітнього навчального закладу 2017 року,Математичний,"Львівська академічна гімназія при Національному університеті ""Львівська політехніка""",гімназія,Українська мова і література,150,Історія України,українська,Зараховано,164,Математика,українська,Зараховано,155,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,159,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №22 імені В. Стефаника,середня загальноосвітня школа,Українська мова і література,108,Історія України,українська,Зараховано,111,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,104,,,,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Спортивний,"Комунальний заклад Львівської обласної ради ""Львівське училище фізичної культури"" (загальноосвітня школа-інтернат)",середня загальноосвітня школа-інтернат,Українська мова і література,120,Історія України,українська,Не подолав поріг,0,,,,,,,,,,,,,Біологія,українська,Зараховано,109,Географія,українська,Не подолав поріг,0,,,,,,,,,
Галицький район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Львівська лінгвістична гімназія Львівської міської ради Львівської області,гімназія,Українська мова і література,148,Історія України,українська,Зараховано,144,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,150,Англійська мова,Зараховано,137,,,,,,
Галицький район міста,Випускник загальноосвітнього навчального закладу 2017 року,Математичний,"Львівська академічна гімназія при Національному університеті ""Львівська політехніка""",гімназія,Українська мова і література,182,,,,,Математика,українська,Зараховано,173,,,,,Хімія,українська,Зараховано,189,Біологія,українська,Зараховано,184,,,,,,,,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Української філології,Середня загальноосвітня школа №30 м.Львова,середня загальноосвітня школа,Українська мова і література,185,Історія України,українська,Зараховано,148,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,124,,,,,,
Галицький район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Львівська лінгвістична гімназія Львівської міської ради Львівської області,гімназія,Українська мова і література,158,Історія України,українська,Зараховано,150,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,177,,,,,,
Шевченківський район міста,Випускник минулих років,,,,Українська мова і література,158,Історія України,українська,Зараховано,140,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,120,Англійська мова,Не подолав поріг,0,,,,,,
смт Рудне,Випускник загальноосвітнього навчального закладу 2017 року,Української філології,Львівська загальноосвітня школа І-ІІІ ступенів №74 Львівської міської ради Львівської області,середня загальноосвітня школа,Українська мова і література,126,Історія України,українська,Зараховано,119,Математика,українська,Зараховано,121,,,,,,,,,,,,,,,,,,,,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Української філології,Середня загальноосвітня школа №73,середня загальноосвітня школа,Українська мова і література,174,Історія України,українська,Зараховано,165,Математика,українська,Зараховано,161,,,,,,,,,,,,,Географія,українська,Зараховано,157,,,,,,,,,
Галицький район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Спеціалізована середня загальноосвітня школа №52 ім. М. Лобачевського з поглибленим вивченням математичних наук м. Львова,спеціалізована школа,Українська мова і література,154,Історія України,українська,Зараховано,114,,,,,,,,,,,,,Біологія,українська,Зараховано,178,,,,,,,,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа І-ІІІ ступенів №6 м. Львова,середня загальноосвітня школа,Українська мова і література,159,,,,,Математика,російська,Зараховано,177,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,159,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,"Навчально-виховний комплекс ""Школа-гімназія ""Сихівська""",навчально-виховний комплекс,Українська мова і література,191,,,,,Математика,українська,Зараховано,191,,,,,,,,,,,,,Географія,українська,Зараховано,153,Англійська мова,Зараховано,194,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інформаційно-технологічний,"Навчально-виховний комплекс ""Школа-гімназія ""Сихівська""",навчально-виховний комплекс,Українська мова і література,197.5,,,,,Математика,українська,Зараховано,186,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,184,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,"Навчально-виховний комплекс ""Школа-гімназія ""Сихівська""",навчально-виховний комплекс,Українська мова і література,188,Історія України,українська,Зараховано,186,,,,,,,,,,,,,,,,,Географія,українська,Зараховано,151,Англійська мова,Зараховано,175,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,"Львівська гімназія ""Престиж"" з поглибленим вивченням іноземних мов",гімназія,Українська мова і література,193,Історія України,українська,Зараховано,181,Математика,українська,Зараховано,170,,,,,,,,,,,,,,,,,,,,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Спеціалізована середня загальноосвітня школа з поглибленим вивченням англійської мови №18 м. Львова,середня загальноосвітня школа,Українська мова і література,138,Історія України,українська,Зараховано,136,Математика,українська,Не подолав поріг,0,,,,,,,,,,,,,Географія,українська,Зараховано,109,,,,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,"Навчально-виховний комплекс ""Школа-гімназія ""Сихівська""",навчально-виховний комплекс,Українська мова і література,177,,,,,Математика,українська,Зараховано,107,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,137,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Середня спеціалізована загальноосвітня школа №93 з поглибленим вивченням англійської мови,спеціалізована школа,Українська мова і література,187,,,,,Математика,українська,Зараховано,170,Фізика,українська,Зараховано,165,,,,,,,,,,,,,Англійська мова,Зараховано,184,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інформаційно-технологічний,"Навчально-виховний комплекс ""Школа-гімназія ""Сихівська""",навчально-виховний комплекс,Українська мова і література,192,Історія України,українська,Зараховано,176,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,172,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №96 МЖК-1,середня загальноосвітня школа,Українська мова і література,141,Історія України,українська,Зараховано,111,,,,,,,,,,,,,Біологія,українська,Зараховано,109,,,,,Англійська мова,Зараховано,154,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа І-ІІІ ступенів №31 м. Львова,середня загальноосвітня школа,Українська мова і література,168,Історія України,українська,Зараховано,168,,,,,,,,,,,,,Біологія,українська,Не з’явився,,,,,,Англійська мова,Зараховано,109,,,,,,
Залізничний район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Спеціалізована середня загальноосвітня школа з поглибленим вивченням англійської мови №18 м. Львова,середня загальноосвітня школа,Українська мова і література,181,,,,,Математика,українська,Зараховано,172,,,,,,,,,Біологія,українська,Зараховано,170,,,,,Англійська мова,Зараховано,170,,,,,,
Галицький район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,"Львівська академічна гімназія при Національному університеті ""Львівська політехніка""",гімназія,Українська мова і література,190,Історія України,українська,Зараховано,131,,,,,,,,,Хімія,українська,Зараховано,184,Біологія,українська,Зараховано,183,,,,,,,,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,"Навчально-виховний комплекс  ""Школа-садок  І-ІІІ ступенів № 38 м. Львова""",навчально-виховний комплекс,Українська мова і література,171,,,,,Математика,українська,Зараховано,149,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,143,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,Середня загальноосвітня школа №96 МЖК-1,середня загальноосвітня школа,Українська мова і література,191,Історія України,українська,Зараховано,198,,,,,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,167,,,,,,
Залізничний район міста,Випускник минулих років,,,,Українська мова і література,166,Історія України,українська,Зараховано,165,,,,,,,,,,,,,Біологія,українська,Зараховано,167,,,,,Англійська мова,Не з’явився,,,,,,,
Личаківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Львівська спеціалізована загальноосвітня школа І-ІІІ ступенів №8 з поглибленим вивченням німецької мови,спеціалізована школа,Українська мова і література,192,Історія України,українська,Зараховано,136,Математика,українська,Зараховано,173,,,,,,,,,,,,,,,,,,,,,,,Німецька мова,Зараховано,199
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №96 МЖК-1,середня загальноосвітня школа,Українська мова і література,182,,,,,Математика,українська,Зараховано,186,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,164,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,"Навчально-виховний комплекс ""Школа-гімназія ""Сихівська""",навчально-виховний комплекс,Українська мова і література,173,,,,,Математика,українська,Зараховано,164,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,143,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Львівська загальноосвітня школа І-ІІІ ступенів №43 Львівської міської ради Львівської області,середня загальноосвітня школа,Українська мова і література,186,Історія України,українська,Зараховано,160,,,,,,,,,,,,,,,,,Географія,українська,Не з’явився,,Англійська мова,Зараховано,172,,,,,,
